Region,Gender,Type,Organ,Count
Southeast,Male,Recovered,Liver,1232
Southeast,Female,Recovered,Liver,914
Midwest,Male,Recovered,Liver,750
Midwest,Female,Recovered,Liver,533
Hawaii,Male,Recovered,Liver,23
Hawaii,Female,Recovered,Liver,11
Puerto Rico,Male,Recovered,Liver,57
Puerto Rico,Female,Recovered,Liver,32
Pacific,Male,Recovered,Intestine,3
Pacific,Female,Recovered,Intestine,6
Northeast,Male,Recovered,Intestine,8
Northeast,Female,Recovered,Intestine,5
Rocky Mountains,Male,Recovered,Intestine,5
Rocky Mountains,Female,Recovered,Intestine,2
Southwest,Male,Recovered,Intestine,0
Southwest,Female,Recovered,Intestine,3
Southeast,Male,Recovered,Intestine,20
Southeast,Female,Recovered,Intestine,22
Midwest,Male,Recovered,Intestine,24
Midwest,Female,Recovered,Intestine,9
Hawaii,Male,Recovered,Intestine,0
Hawaii,Female,Recovered,Intestine,0
Puerto Rico,Male,Recovered,Intestine,0
Puerto Rico,Female,Recovered,Intestine,0
Pacific,Male,Recovered,Heart,243
Pacific,Female,Recovered,Heart,120
Northeast,Male,Recovered,Heart,252
Northeast,Female,Recovered,Heart,115
Rocky Mountains,Male,Recovered,Heart,65
Rocky Mountains,Female,Recovered,Heart,22
Southwest,Male,Recovered,Heart,36
Southwest,Female,Recovered,Heart,91
Southeast,Male,Recovered,Heart,484
Southeast,Female,Recovered,Heart,241
Midwest,Male,Recovered,Heart,322
Midwest,Female,Recovered,Heart,186
Hawaii,Male,Recovered,Heart,0
Hawaii,Female,Recovered,Heart,0
Puerto Rico,Male,Recovered,Heart,22
Puerto Rico,Female,Recovered,Heart,2
Pacific,Male,Recovered,Lungs,303
Pacific,Female,Recovered,Lungs,170
Northeast,Male,Recovered,Lungs,240
Northeast,Female,Recovered,Lungs,169
Rocky Mountains,Male,Recovered,Lungs,50
Rocky Mountains,Female,Recovered,Lungs,22
Southwest,Male,Recovered,Lungs,34
Southwest,Female,Recovered,Lungs,170
Southeast,Male,Recovered,Lungs,600
Southeast,Female,Recovered,Lungs,425
Midwest,Male,Recovered,Lungs,307
Midwest,Female,Recovered,Lungs,269
Hawaii,Male,Recovered,Lungs,0
Hawaii,Female,Recovered,Lungs,4
Puerto Rico,Male,Recovered,Lungs,36
Puerto Rico,Female,Recovered,Lungs,9
Pacific,Male,Transplanted,All,2215
Pacific,Female,Transplanted,All,1346
Northeast,Male,Transplanted,All,2326
Northeast,Female,Transplanted,All,1350
Rocky Mountains,Male,Transplanted,All,545
Rocky Mountains,Female,Transplanted,All,227
Southwest,Male,Transplanted,All,385
Southwest,Female,Transplanted,All,1048
Southeast,Male,Transplanted,All,4518
Southeast,Female,Transplanted,All,3016
Midwest,Male,Transplanted,All,2969
Midwest,Female,Transplanted,All,2058
Hawaii,Male,Transplanted,All,79
Hawaii,Female,Transplanted,All,37
Puerto Rico,Male,Transplanted,All,206
Puerto Rico,Female,Transplanted,All,87
Pacific,Male,Transplanted,Kidney,1115
Pacific,Female,Transplanted,Kidney,716
Northeast,Male,Transplanted,Kidney,1216
Northeast,Female,Transplanted,Kidney,701
Rocky Mountains,Male,Transplanted,Kidney,290
Rocky Mountains,Female,Transplanted,Kidney,124
Southwest,Male,Transplanted,Kidney,208
Southwest,Female,Transplanted,Kidney,487
Southeast,Male,Transplanted,Kidney,2097
Southeast,Female,Transplanted,Kidney,1425
Midwest,Male,Transplanted,Kidney,1455
Midwest,Female,Transplanted,Kidney,1002
