hexid,amphPrev,birdPrev,fishPrev,mammPrev,reptPrev,jan.avg,jan.stdev,jul.avg,jul.stdev,ppt.avg,ppt.stdev,ppt.min,ppt.max,seas.avg,elev.min,elev.max,elev.avg,elev.stdev,fractal,dominance,contagion,slope.max,slope.min,slope.med,slope.avg,slope.stdev,slope.iqr,aspect.avg,aspect.dev,aspect.med,crop.pasture,grass.crop,wood.crop,grass,shrub,grass.shrub,deciduous,evergreen,mix.forest,water,coast.wet,barren,tundra,urban,roads.maj,roads.min,streams.maj,streams.per,streams.int,streams.bra,fed.park,fed.refuge,fed.wilder,fed.indian,fed.mil,fed.forest,non.fed,federal,stream,roads
2546,9,79,50,28,13,2,0,24.24,0.427,1104.852,12.767,1071,1129,22.24,120,183,147,17,1.51,0.277,0.601,1.159,0,0.372,0.388,0.302,0.566,340.9,77.9,325.7,0,0,0.00308,0,0,0,0.38308,0,0.61385,0,0,0,0,0,19.6083,59.6735,27.22,0,27.22,27.22,0,0,0,0,0,0,0,0,81.66,79.2818
2547,4,75,45,27,9,2.214,0.411,24.615,0.487,1084.428,11.936,1065,1112,22.401,94,189,141,19.6,1.528,0.374,0.607,1.206,0.01,0.427,0.442,0.234,0.362,226.5,75.2,228.9,0,0,0.0416,0,0,0,0.43297,0.00154,0.52388,0,0,0,0,0,11.9322,40.6796,48.489,0,48.489,48.489,0,0,0,0,0,0,0,0,145.467,52.6118
2548,20,97,48,35,29,2.998,0.039,25,0,1092.057,12.553,1062,1112,22.002,91,164,118,15.8,1.562,0.438,0.773,1.197,0,0.442,0.466,0.257,0.394,99.5,78.6,128,0.00308,0.04,0.12615,0,0,0,0.30615,0.00154,0.52308,0,0,0,0,0,0,55.0072,18.938,0,18.938,18.938,0,0,0,0,0,0,0,0,56.814,55.0072
2646,6,105,18,44,7,-5.535,0.558,20.113,0.563,923.812,20.796,873,964,25.648,243,522,388,55.1,1.542,0.332,0.304,4.505,0.087,1.528,1.64,0.895,1.181,185.9,71.4,186.1,0,0,0.14198,0,0,0,0.68056,0,0.17747,0,0,0,0,0,30.8859,0,31.679,0,31.679,31.679,0,0,0,0,0,0,0,0,95.037,30.8859
2647,16,111,19,44,11,-5.974,1.222,19.392,1.333,1124.709,73.925,949,1223,25.365,213,701,438,135.3,1.369,0.43,0.803,10.476,0.051,1.711,2.195,1.775,1.995,13.9,76.1,18.8,0,0,0.1192,0,0,0,0.56347,0,0.31734,0,0,0,0,0,29.8376,33.3229,47.784,0,47.784,47.784,0,0,0,0,0,0,0,0,143.352,63.1605
2648,13,110,20,47,9,-6.557,1.273,18.929,1.465,1075.782,48.336,1013,1194,25.486,243,761,550,128.5,1.397,0.523,0.766,9.655,0.059,1.529,2.301,2.084,2.09,161.3,78.3,172.1,0,0,0.05247,0,0,0,0.53858,0,0.40895,0,0,0,0,0,27.2472,25.4037,53.401,0,53.401,53.401,0,0,0,0,0,0,0,0,160.203,52.6509
2649,10,104,20,39,8,-4.193,0.641,21.485,0.684,1021.246,23.457,974,1085,25.678,152,426,271,64.4,1.489,0.411,0.674,4.561,0.065,1.408,1.499,0.859,1.162,177.1,72.6,183.8,0.01703,0,0.80805,0,0,0,0.17492,0,0,0,0,0,0,0,41.5755,13.8708,21.002,0,21.002,21.002,0,0,0,0,0,0,0,0,63.006,55.4463
2650,13,97,20,38,14,-4.023,0.6,21.541,0.615,1020.215,19.32,970,1072,25.564,146,424,223,56.5,1.521,0.402,0.765,6.218,0.02,1.572,1.73,1.081,1.322,299.3,74.2,318,0.00618,0.00155,0.75734,0,0,0,0.20402,0,0.00155,0.00773,0,0,0,0.02164,19.2838,77.0406,45.108,7.892,45.108,45.108,0,0,0,0,0,0,0,0,143.216,96.3245
2651,7,88,23,38,9,-4.131,0.601,21.376,0.723,1062.493,73.591,1001,1384,25.507,117,488,221,63.1,1.529,0.306,0.671,7.713,0.01,1.401,1.741,1.346,1.448,245.1,76.8,255,0.01849,0,0.69646,0,0,0,0.26348,0,0,0.02003,0,0,0,0.00154,5.249,79.3467,77.715,30.421,77.715,77.715,0,0,0,0,0,0,0,0,263.566,84.5957
2652,16,110,28,40,13,-3.162,0.776,22.23,0.814,1022.279,21.177,979,1077,25.392,98,515,197,71,1.442,0.301,0.723,7.878,0.029,1.704,2.042,1.427,2.008,204,75.2,197.8,0.01698,0.00617,0.25617,0,0,0,0.65741,0,0.00309,0.05247,0,0,0,0.00772,9.7909,105.0762,56.569,46.854,56.569,56.569,0,0,0,0,0,0,0,0,216.561,114.8671
2653,20,109,28,39,19,-2.301,0.584,22.848,0.524,1004.217,21.398,984,1077,25.149,88,401,166,57.6,1.427,0.17,0.716,6.705,0,0.564,1.192,1.479,1.385,27.7,72.5,38,0.14574,0.0186,0.36589,0,0,0.00155,0.36744,0,0.00775,0.01395,0,0,0,0.07907,26.3112,124.4498,84.163,4.751,84.163,84.163,0,0,0,0,0,0,0,0,257.24,150.761
2654,21,101,29,38,18,-2.478,0.653,22.624,0.717,1030.399,19.494,996,1085,25.102,134,502,239,76.2,1.421,0.413,0.762,6.042,0,1.049,1.416,1.217,1.671,93.4,69.2,99.6,0.02627,0,0.28594,0,0,0,0.6677,0.00309,0.017,0,0,0,0,0,28.5075,28.0341,59.53,0,59.53,59.53,0,0,0,0,0,0,0,0,178.59,56.5416
2655,8,106,25,40,10,-1.725,0.974,23.303,1.026,1053.608,45.863,984,1192,25.028,108,584,220,104.4,1.361,0.251,0.638,6.466,0,0.594,1.261,1.375,1.532,116.7,64.9,115,0.00923,0,0.19538,0,0,0,0.60923,0.05539,0.12154,0,0,0,0,0.00923,23.6243,89.3994,73.358,0,73.358,73.358,0,0,0,0,0,0,0,0,220.074,113.0237
