,Rate1999,Se1999,Lci1999,Uci1999,Cnt1999,Pop1999,Rate2000,Rate2001,Rate2002,Rate2003,Rate2004,Rate2005,Rate2006,Rate2007,Rate2008,Rate2009,Se2009,Lci2009,Uci2009,Cnt2009,Pop2009,HeavyD1999,BingeD1999,HeavyD2009,BingeD2009,HeavyPC,BingePC,rate9909Pc,nonHwhitePc,LBtrend0408,LBtrendLb,LBtrendUb,OverwtPct,OverLb,OverUb
OH,6.1,0.4,5.4,6.9,295,5.500437,6.4,5.9,6.7,6.4,6,6.7,6.7,7,7.7,7.5,0.4,6.8,8.3,449,5.633403,1.7,12.1,5.3,16.1,211.76,33.06,22.9508196721312,82.2057509349027,2.4,2.1,2.7,72.8,70.4,75.1
OK,5.9,0.6,4.7,7.3,87,1.688364,6.8,5.1,5.3,6.3,6.2,7.8,7,8.2,7.2,9.4,0.7,8,10.9,177,1.821974,2.2,8.1,3.5,13,59.09,60.49,59.3220338983051,70.8413772528173,3.3,2.6,3.9,73.1,70.6,75.4
OR,4,0.5,3.1,5.2,64,1.681715,5.8,4.7,5.3,6.4,6.5,6.4,6.3,6.1,7.9,9,0.7,7.7,10.4,192,1.897054,3.5,14.9,6.2,15,77.14,0.67,125,79.6384777830318,3.7,3.2,4.2,69.1,65.9,72.2
PA,6,0.3,5.4,6.7,359,5.916741,6.6,6.1,6.6,7.5,7.1,7.4,6.8,7.6,8.1,8.4,0.4,7.8,9.2,587,6.138709,3.8,15.9,5.2,16.6,36.84,4.4,40,80.8930462578166,2.7,2.5,3,73.1,71,75.2
RI,6.2,1.2,4.1,8.9,29,0.499678,9,4.7,6.7,8.2,9.9,6.4,10,8.2,7.7,9.4,1.3,7,12.4,52,0.51149,4.3,15.6,5.5,18.2,27.91,16.67,51.6129032258064,78.2104026836079,3,2.2,3.8,73,69.9,75.9
SC,6.3,0.6,5.1,7.6,102,1.929076,7.3,7.2,7.3,6.9,6.9,7.9,7.5,7.1,7.7,9.5,0.7,8.3,10.9,222,2.221134,3.9,12.3,4.8,12.7,23.08,3.25,50.7936507936508,64.8923911513575,2.6,2.2,3,71.9,68.7,74.9
SD,5.3,1.2,3.2,8.3,19,0.371912,4.2,6.8,4.4,5,6.5,6.7,4.3,4,5.2,5.5,1.1,3.5,8.2,25,0.40592,3,17.4,4,19.3,33.33,10.92,3.77358490566038,85.4871409175229,3,2,4,73.8,70.8,76.6
TN,5.2,0.5,4.3,6.2,122,2.74124,6.2,6.9,7.7,7,7.1,6.4,7.7,7.8,8.1,9.6,0.6,8.5,10.8,300,3.069243,2.1,7.7,1.9,6.8,-9.52,-11.69,84.6153846153846,76.5133681074493,2.3,1.9,2.6,73.5,70,76.7
TX,8.5,0.3,7.8,9.2,628,10.198018,8.7,9.5,9.4,9,10.6,10.6,10.8,10.1,10.7,11.1,0.3,10.4,11.8,1151,12.378092,4.5,17.3,5.1,14.9,13.33,-13.87,30.5882352941176,46.7394675442176,1.8,1.2,2.3,73.5,71.2,75.7
UT,5,0.9,3.4,7,33,1.103315,4.1,4.9,4,3.7,4.1,5.2,4,6.2,4,5.1,0.7,3.8,6.7,52,1.400974,2.9,10.2,3,8.8,3.45,-13.73,1.99999999999999,81.1989777962286,2.8,1.9,3.7,66.7,64.4,68.9
VA,6.9,0.5,5.9,8,188,3.430491,5.8,6.3,6.2,6.5,6.8,6.8,7.3,7.4,8.2,9.2,0.5,8.3,10.3,343,3.874865,2.9,12.7,5.4,13.5,86.21,6.3,33.3333333333333,94.9080030880082,2.4,2,2.8,65.6,60,70.8
VT,3.9,1.2,1.9,7,11,0.296285,5.5,6.5,5.6,6.1,6.2,3.4,NA,6.4,6.8,10.2,1.8,7,14.5,34,0.306024,4.5,17.4,8.1,17.1,80,-1.72,161.538461538462,66.3285544472058,2.1,1,3.3,65.8,63.1,68.5
WA,6.2,0.5,5.3,7.3,149,2.907663,6.5,7.3,7.4,7.3,8.3,6.6,8.1,8.4,9.2,8.9,0.5,7.9,10,295,3.328953,3.6,14.4,5.5,15.2,52.78,5.56,43.5483870967742,74.6184497902597,3.5,3.1,4,69.7,68,71.3
WI,5.8,0.5,4.9,6.9,137,2.631141,6.4,6.7,7.3,6.8,7.4,7,6.2,6.8,7.2,7,0.5,6.1,8,209,2.809066,5,27,7.9,23.9,58,-11.48,20.6896551724138,93.2703842283972,2.8,2.4,3.2,71.7,68.2,75
WV,5,0.8,3.7,6.7,46,0.87999,5.8,5.2,6,6.5,5.8,6.2,5.2,6.8,6.8,6.1,0.8,4.6,7.8,60,0.89212,2.7,8.5,2.7,9.2,0,8.24,22,84.61010112871,1.7,1.1,2.3,74.7,71.8,77.4
WY,NA,1,0.9,5.4,6,0.247262,4.6,4.8,NA,6.5,NA,4.6,7.3,6.2,8,8.4,1.8,5.2,12.8,22,0.27704,3.1,17.3,5.7,15.8,83.87,-8.67,NA,86.1982104470208,2.2,0.7,3.7,72.1,69.3,74.7
