"hsa","obsratewm100k","obsratebm100k","femhh","popdens","pctblack","pcthispan","dthswm","obslnrwm","predlnrwm","residwm","dthsbm","obslnrbm","predlnrbm","residbm","predratewm100k","smpredratewm100k","predratebm100k","urbanRural","BM15-24","WM15-24"
624,4.08,0.1,5.5,201.3,2.243555084,1.9813717189,7,-10.1061,-9.9679,-0.1382,0,-13.8155,-11.8308,-1.9847,4.69,4.68809,0.73,0.91,5485,175750
625,0.1,0.1,4.5,29,0.0486527813,0.2085119199,0,-13.8155,-11.9426,-1.8729,0,-13.8155,-13.1777,-0.6378,0.65,0.65072,0.19,7,5,12310
626,9.89,0.1,4.7,30.9,0.1043992692,0.4117971174,1,-9.2219,-12.0209,2.7989,0,-13.8155,-11.7073,-2.1083,0.6,0.60171,0.82,7,70,10220
627,8.29,0.1,5.7,35.1,6.4270826885,2.5423553932,4,-9.3974,-10.4582,1.0608,0,-13.8155,-11.8843,-1.9312,2.87,2.87119,0.69,7.14,6605,48815
628,0.1,0.1,4.1,13.6,0.0754489211,0.5130526633,0,-13.8155,-12.0393,-1.7762,0,-13.8155,-12.4635,-1.352,0.59,1.4862,0.39,7.5,5,3280
629,0.1,0.1,5.9,3.2,0.1278619091,0.8031326168,0,-13.8155,-12.3476,-1.4679,0,-13.8155,-12.9107,-0.9048,0.43,0.39682,0.25,7.82,25,6055
630,4.71,0.1,6.1,32.4,1.6602027625,0.6004626795,1,-9.9627,-10.997,1.0343,0,-13.8155,-11.7973,-2.0182,1.68,4.68809,0.75,5.33,700,21680
631,16.27,0.1,4.1,6.4,0.0104701078,0.1884619412,1,-8.7237,-11.8556,3.1319,0,-13.8155,-13.2022,-0.6133,0.71,0.70987,0.18,9,0,6185
632,0.1,0.1,4.7,7.5,0.2586636749,0.3241087011,0,-13.8155,-12.9051,-0.9104,0,-13.8155,-13.3309,-0.4846,0.25,0.31715,0.16,7.61,35,9735
633,8.33,29.09,4.1,26.3,0.0950171252,0.2695834714,1,-9.3926,-12.6004,3.2078,1,-8.1427,-11.0919,2.9492,0.34,0.45883,1.52,8.05,15,12145
634,0.1,0.1,4.4,30,0,0.4744176852,0,-13.8155,-13.0787,-0.7368,0,-13.8155,-12.4215,-1.394,0.21,0.65072,0.4,7,0,9160
635,0.1,0.1,3.3,10.5,0.0745553307,0.4420066035,0,-13.8155,-12.859,-0.9565,0,-13.8155,-11.9036,-1.9119,0.26,0.5308,0.68,7.75,5,4540
636,0.1,0.1,3.4,3,0.1654881902,0.5265533323,0,-13.8155,-11.8086,-2.0069,0,-13.8155,-12.7696,-1.0459,0.74,0.48696,0.28,9,10,1495
637,0.1,0.1,3.5,6.3,0.999148453,0.5904059041,0,-13.8155,-12.8599,-0.9556,0,-13.8155,-11.7232,-2.0923,0.26,0.30441,0.81,7.58,215,4425
