"hsa","obsratewm100k","obsratebm100k","femhh","popdens","pctblack","pcthispan","dthswm","obslnrwm","predlnrwm","residwm","dthsbm","obslnrbm","predlnrbm","residbm","predratewm100k","smpredratewm100k","predratebm100k","urbanRural","BM15-24","WM15-24"
738,14.78,0.1,6.2,26.2,0.9363477586,4.06462255,4,-8.8195,-8.7569,-0.0627,0,-13.8155,-12.45,-1.3655,15.74,14.19835,0.39,5.83,1310,27245
739,18.89,0.1,7.6,35.8,1.0164789281,20.997643216,15,-8.5744,-8.5049,-0.0694,0,-13.8155,-12.1911,-1.6244,20.25,11.23266,0.51,3.37,1455,79835
740,11.92,0.1,8.2,9.1,0.5598209904,10.254373342,6,-9.0348,-9.1493,0.1145,0,-13.8155,-13.0253,-0.7902,10.63,10.62942,0.22,5.66,675,50765
741,3.43,0.1,6.5,17.7,2.4634472528,8.7277059147,1,-10.2817,-10.4155,0.1338,0,-13.8155,-11.7675,-2.048,3,2.99644,0.78,3.72,1205,30070
742,5.52,0.1,7,8.1,0.0911802139,1.795110461,1,-9.8051,-9.9092,0.1041,0,-13.8155,-13.3886,-0.427,4.97,4.11536,0.15,5.71,70,18460
743,13.88,0.1,5.8,4.8,0.5810011096,5.0024657872,3,-8.8827,-8.5489,-0.3338,0,-13.8155,-12.1865,-1.6291,19.38,11.7262,0.51,5.22,280,21775
744,4.22,0.1,5.8,52.3,1.1497170578,5.038345269,6,-10.0728,-9.7123,-0.3605,0,-13.8155,-11.8364,-1.9791,6.05,6.05343,0.72,0.71,4120,145585
745,36.68,0.1,7.4,6.2,0.8865970055,28.32134618,5,-7.9108,-9.2755,1.3648,0,-13.8155,-13.1445,-0.671,9.37,8.63761,0.2,6.94,415,13670
746,9.51,87.86,7.3,189.5,9.5530840924,12.600210834,13,-9.2601,-8.7033,-0.5568,19,-7.0372,-7.2262,0.189,16.6,16.6037,72.73,0.61,21650,138085
747,23.11,0.1,6,14.6,0.4070531871,11.697675954,12,-8.3726,-8.6042,0.2316,0,-13.8155,-12.326,-1.4895,18.33,11.23266,0.44,5.72,545,52150
748,5.39,0.1,5.8,8.6,0.2338885082,7.456127283,1,-9.8282,-10.0101,0.1819,0,-13.8155,-11.2639,-2.5516,4.49,10.63154,1.28,6.98,65,18900
749,9.44,0.1,4.6,4,0.1246179865,3.483369433,1,-9.2683,-11.4672,2.1989,0,-13.8155,-12.7539,-1.0616,1.05,1.04679,0.29,7.62,15,10710
750,31.11,137.58,8.1,194.9,5.2927680982,20.784093317,52,-8.0753,-7.944,-0.1313,25,-6.5887,-6.7846,0.1958,35.48,17.72056,113.11,2.46,18185,167675
751,13.04,34.35,7.4,325,4.1392979861,23.291024978,80,-8.9449,-8.8113,-0.1335,16,-7.9764,-7.9422,-0.0342,14.9,14.90394,35.54,0.49,46720,618205
752,12.76,0.1,6.6,25.6,0.3785104269,3.9767350704,9,-8.9669,-8.7514,-0.2155,0,-13.8155,-12.6477,-1.1678,15.82,15.53702,0.32,3.94,495,71110
753,5.31,0.1,5.1,47.1,0.2847436085,4.4886835802,1,-9.8434,-9.8244,-0.019,0,-13.8155,-11.8378,-1.9777,5.41,15.95425,0.72,4.16,230,19195
754,6.9,0.1,6.7,52.4,6.6828316979,8.1334346993,11,-9.5807,-9.3568,-0.2239,0,-13.8155,-13.4402,-0.3753,8.64,8.63761,0.15,2.31,18310,161650
755,0.1,0.1,4.5,4.8,0.1565312671,1.823589262,0,-13.8155,-10.8174,-2.9981,0,-13.8155,-13.3334,-0.4821,2,5.72719,0.16,7.37,115,11165
756,25.26,0.1,4.9,4.4,0.4854368932,1.4619552946,1,-8.2838,-11.9433,3.6595,0,-13.8155,-12.1803,-1.6352,0.65,1.04679,0.51,7.36,5,3975
757,16.09,147.82,8.9,2844.6,8.263867756,15.268837245,47,-8.735,-8.5275,-0.2075,66,-6.5169,-6.3287,-0.1882,19.79,14.90394,178.44,0,44680,294020
758,8.85,0.1,6.6,55.3,1.011421253,2.3541348679,9,-9.3321,-9.1922,-0.1398,0,-13.8155,-10.2824,-3.5331,10.18,10.18306,3.42,4.27,2380,102810
759,0.1,0.1,5.1,5.6,0.2574957448,1.6169859905,0,-13.8155,-10.7722,-3.0433,0,-13.8155,-11.7281,-2.0874,2.1,5.72719,0.81,7.3,180,14015
760,7.69,0.1,6.1,17.8,0.3426333823,18.907512864,5,-9.4731,-10.0737,0.6007,0,-13.8155,-11.9139,-1.9016,4.22,4.21743,0.67,3.78,660,65880
761,4.82,0.1,5,7.6,0.2754022322,8.1412765135,1,-9.9401,-10.2818,0.3417,0,-13.8155,-13.0744,-0.7411,3.43,5.84464,0.21,7.21,225,21185
763,0.1,0.1,5.1,8.2,0.0777223268,7.2363576863,0,-13.8155,-10.5917,-3.2238,0,-13.8155,-10.9402,-2.8753,2.51,2.51237,1.77,7.56,15,7225
764,4.08,12.9,7.2,307.6,2.1917524639,9.1443237946,7,-10.1067,-9.0869,-1.0199,1,-8.9554,-9.081,0.1257,11.31,14.90394,11.38,0,7810,175865
765,11.76,0.1,12.5,8,0.2453445865,8.2255861691,1,-9.0486,-9.2574,0.2087,0,-13.8155,-13.4099,-0.4056,9.54,10.62942,0.15,5,100,8580
766,20.16,214.72,9.1,1497.1,14.577270113,12.784157195,104,-8.509,-8.5879,0.0789,268,-6.1436,-6.1644,0.0208,18.63,16.6037,210.3,0,124875,518310
767,14.6,0.1,4.4,2.9,0.037993921,1.3424518744,1,-8.8317,-11.8792,3.0475,0,-13.8155,-11.6318,-2.1837,0.69,0.69331,0.89,7.29,0,6895
768,38.11,124.71,7.3,106.3,6.9027535226,26.109387657,323,-7.8724,-7.8854,0.013,110,-6.6869,-6.6569,-0.03,37.62,37.61961,128.51,0,88275,849760
769,18.56,0.1,6.4,5.9,4.4257720548,24.286404664,4,-8.5918,-9.9492,1.3575,0,-13.8155,-10.2493,-3.5662,4.78,17.03424,3.54,4.57,1810,21665
770,0.1,0.1,5.8,5,0.1582118693,2.2553606894,0,-13.8155,-11.2537,-2.5618,0,-13.8155,-12.7741,-1.0414,1.3,1.29593,0.28,7,35,8460
771,3.49,0.1,6.2,3.4,0.5747946434,8.8298240965,1,-10.2642,-10.3146,0.0504,0,-13.8155,-13.4839,-0.3316,3.31,4.05895,0.14,5.81,410,29535
772,43.39,0.1,7.3,11.2,1.9717436639,35.910346253,16,-7.7427,-7.839,0.0963,0,-13.8155,-12.1344,-1.6811,39.41,17.03424,0.54,5,915,36960
773,0.1,0.1,5.1,10.6,0.141713314,1.385247644,0,-13.8155,-11.7544,-2.0611,0,-13.8155,-13.4499,-0.3656,0.79,1.04679,0.14,5.42,145,29910
774,19.36,60.01,8.1,330.6,6.1493050908,21.859350544,197,-8.5498,-8.4162,-0.1335,70,-7.4184,-7.1016,-0.3168,22.13,20.20087,82.38,0.17,116835,1022900
775,0.1,0.1,3.8,2.2,0.1082402235,1.2918994413,0,-13.8155,-10.7666,-3.0489,0,-13.8155,-11.5674,-2.2482,2.11,2.10924,0.95,7.34,20,8370
777,16.92,0.1,6.5,3.7,0.0554856058,4.3577541134,2,-8.6844,-10.1569,1.4725,0,-13.8155,-10.9982,-2.8173,3.88,3.88074,1.67,7,70,11890
778,0.1,0.1,3.5,1.4,0,1.4514145141,0,-13.8155,-11.251,-2.5646,0,-13.8155,-12.9368,-0.8787,1.3,0.81908,0.24,8.55,0,1135
779,0.1,0.1,8,3,0.067574592,1.0448071525,0,-13.8155,-11.7125,-2.103,0,-13.8155,-12.5668,-1.2487,0.82,0.81908,0.35,7,5,3330
780,0.1,0.1,6,6.7,3.9863109196,7.9726218392,0,-13.8155,-10.5287,-3.2868,0,-13.8155,-13.3533,-0.4622,2.68,17.72056,0.16,6,2380,15440
781,7.68,8.51,6.8,100.2,2.6956047514,21.124631457,19,-9.4744,-9.2495,-0.2249,1,-9.3716,-11.631,2.2594,9.62,14.90394,0.89,2.37,11890,250685
782,4.68,0.1,6.8,41.8,0.5901033211,2.4099417048,6,-9.9703,-9.1491,-0.8212,0,-13.8155,-11.6577,-2.1578,10.63,10.63154,0.87,2.5,1635,131095
783,14.78,0.1,5.5,31.8,0.2447939926,1.662283531,2,-8.8197,-9.276,0.4563,0,-13.8155,-11.1785,-2.637,9.36,10.18306,1.4,6.64,75,13625
784,0.1,0.1,4.7,22,1.0246137883,1.5203481669,0,-13.8155,-11.9791,-1.8364,0,-13.8155,-13.0588,-0.7567,0.63,5.72719,0.21,5.88,1125,56255
785,32.58,0.1,5.8,23.8,0.5129878606,1.5846495236,6,-8.0293,-9.6511,1.6217,0,-13.8155,-12.5969,-1.2186,6.44,10.18306,0.34,5.26,355,18475
786,0.1,0.1,5.5,14.5,0.9148788187,14.515007223,0,-13.8155,-10.4612,-3.3543,0,-13.8155,-12.2349,-1.5807,2.86,5.84464,0.49,7,465,6730
787,8.92,0.1,6.2,14,2.4755878382,39.815635379,4,-9.3251,-8.9121,-0.4131,0,-13.8155,-12.3091,-1.5064,13.47,20.20087,0.45,3.46,2625,45375
788,0.1,0.1,4.7,3,0,1.5407854985,0,-13.8155,-10.175,-3.6405,0,-13.8155,-11.602,-2.2135,3.81,3.81113,0.91,7,10,2145
789,35.08,130.82,8.2,71,1.4580614963,38.222178051,40,-7.9552,-7.9474,-0.0078,3,-6.6391,-7.6409,1.0018,35.36,35.35803,48.04,2,2295,114335
790,14.27,21.4,6.4,381,2.3528585266,26.219701771,35,-8.8551,-8.8488,-0.0063,2,-8.4496,-8.6526,0.203,14.36,14.90394,17.47,0,9390,247085
792,0.1,0.1,5,10,0.0213846565,4.2822774659,0,-13.8155,-11.2329,-2.5826,0,-13.8155,-13.1595,-0.656,1.32,3.47824,0.19,7,0,6335
793,0.1,0.1,7.1,2.4,0.6160731552,49.092466226,0,-13.8155,-9.7146,-4.1009,0,-13.8155,-12.6264,-1.1891,6.04,17.35578,0.33,7.14,165,12560
794,11.33,149.21,7.7,381,7.2106420472,3.3171102843,22,-9.0857,-8.6193,-0.4664,37,-6.5076,-6.6714,0.1638,18.06,11.7262,126.66,2,24815,195950
795,8.14,0.1,6.4,336,0.6874087486,6.6996835878,8,-9.4162,-9.798,0.3818,0,-13.8155,-9.7903,-4.0252,5.56,5.55626,5.6,0,1545,99510
796,2.53,0.1,5.7,82,0.5684015988,6.4313190355,2,-10.5832,-10.2725,-0.3107,0,-13.8155,-11.5087,-2.3068,3.46,3.45708,1,3,1050,82175
797,0.1,0.1,4.2,4,0.0368324125,5.1074278699,0,-13.8155,-12.0678,-1.7477,0,-13.8155,-11.6945,-2.121,0.57,1.43523,0.83,7,5,2365
799,16.05,0.1,5.1,3.8,0.6554804748,8.9160529446,2,-8.7373,-9.3917,0.6544,0,-13.8155,-12.3533,-1.4622,8.34,8.34135,0.43,5.07,140,12540
800,9.9,120.58,8.2,34,0.7169361473,3.9767289578,4,-9.2206,-8.8598,-0.3608,1,-6.7206,-8.0872,1.3666,14.2,14.19835,30.74,5,830,40825
801,7.72,0.1,10.5,3,0.5177809388,80.26458037,1,-9.4692,-8.0962,-1.3731,0,-13.8155,-2.111,-11.7045,30.47,17.03424,12111.68,6.68,255,13125
802,10.46,0.1,7.5,527,0.9963697145,19.947852734,9,-9.1657,-9.2336,0.0679,0,-13.8155,-13.2004,-0.6151,9.77,14.90394,0.18,0,2075,86905
803,17.06,0.1,5.2,9,0.1454592126,4.9595174177,4,-8.6762,-7.9418,-0.7344,0,-13.8155,-11.884,-1.9315,35.56,20.20087,0.69,2,35,23585
804,0.1,0.1,4.8,3,0.0767106474,0.4602638846,0,-13.8155,-11.9761,-1.8394,0,-13.8155,-11.6062,-2.2093,0.63,0.62928,0.91,7,5,1710
805,0.1,0.1,5.1,1,2.256044905,8.3333333333,0,-13.8155,-10.5203,-3.2952,0,-13.8155,-10.6251,-3.1904,2.7,5.72719,2.43,7,140,2775
806,0.1,0.1,4.1,2,0.012733987,2.228447727,0,-13.8155,-9.6457,-4.1698,0,-13.8155,-10.1192,-3.6964,6.47,6.47032,4.03,9,0,2085
807,30.67,125.1,8.2,75,5.4609486694,27.70273627,54,-8.0898,-8.1058,0.0159,18,-6.6838,-7.0416,0.3578,30.18,30.17837,87.47,2,14400,176680
808,23.99,0.1,5.8,4.6,0.0560263324,2.458155333,1,-8.3351,-11.7229,3.3878,0,-13.8155,-10.1662,-3.6493,0.81,3.47824,3.84,7.1,10,4185
809,10.16,0.1,5.5,5,0.2192408377,8.4096858639,1,-9.1949,-9.7474,0.5525,0,-13.8155,-13.3987,-0.4168,5.84,5.84464,0.15,7.68,65,9945
810,0.1,0.1,4.4,2.2,0.0396762419,0.5157911443,0,-13.8155,-12.2595,-1.556,0,-13.8155,-11.5087,-2.3068,0.47,0.81908,1,7.08,0,3230
811,17.4,0.1,7.7,23,0.6969942125,9.8213952331,4,-8.6566,-8.6803,0.0237,0,-13.8155,-12.4761,-1.3395,16.99,16.6037,0.38,4,350,23125
812,10.23,0.1,6.5,16.5,2.4796046668,8.1786017135,1,-9.1879,-11.3817,2.1938,0,-13.8155,-12.2893,-1.5262,1.14,5.84464,0.46,6.11,620,9875
813,0.1,0.1,4.9,2,0,2.087259023,0,-13.8155,-11.9434,-1.8721,0,-13.8155,-11.5099,-2.3056,0.65,3.47824,1,7,0,1700
814,0.1,0.1,6.3,1,0,32.710960233,0,-13.8155,-10.2977,-3.5178,0,-13.8155,-11.1699,-2.6457,3.37,8.63761,1.41,9,0,1145
815,2.13,0.1,6,69,0.4836437627,2.5403036469,1,-10.7564,-10.7306,-0.0258,0,-13.8155,-12.7216,-1.0939,2.19,10.63154,0.3,3,605,49240
816,0.1,0.1,6,2.2,0.226652973,9.292771895,0,-13.8155,-11.5626,-2.253,0,-13.8155,-11.7793,-2.0362,0.95,15.95425,0.77,7,130,6910
