Organ,Type,OrganType,Year,Value
Lungs,Recovered,Lungs Recovered,2007,0.318367
Intestine,Recovered,Intestine Recovered,2007,0.025356
All,Transplanted,All Transplanted,2007,2.993197
Kidney,Transplanted,Kidney Transplanted,2007,1.453309
Pancreas,Transplanted,Pancreas Transplanted,2007,0.761163
Liver,Transplanted,Liver Transplanted,2007,0.27953
Heart,Transplanted,Heart Transplanted,2007,0.167471
Lungs,Transplanted,Lungs Transplanted,2007,0.307359
Intestine,Transplanted,Intestine Transplanted,2007,0.024366
All,Recovered,All Recovered,2006,3.522265
Kidney,Recovered,Kidney Recovered,2006,1.780467
Pancreas,Recovered,Pancreas Recovered,2006,0.874891
Liver,Recovered,Liver Recovered,2006,0.283897
Heart,Recovered,Heart Recovered,2006,0.253087
Lungs,Recovered,Lungs Recovered,2006,0.306973
Intestine,Recovered,Intestine Recovered,2006,0.022951
All,Transplanted,All Transplanted,2006,3.049645
Kidney,Transplanted,Kidney Transplanted,2006,1.485094
Pancreas,Transplanted,Pancreas Transplanted,2006,0.786953
Liver,Transplanted,Liver Transplanted,2006,0.280529
Heart,Transplanted,Heart Transplanted,2006,0.178745
Lungs,Transplanted,Lungs Transplanted,2006,0.296994
Intestine,Transplanted,Intestine Transplanted,2006,0.02133
All,Recovered,All Recovered,2005,3.533649
Kidney,Recovered,Kidney Recovered,2005,1.753325
Pancreas,Recovered,Pancreas Recovered,2005,0.881338
Liver,Recovered,Liver Recovered,2005,0.292375
Heart,Recovered,Heart Recovered,2005,0.269722
Lungs,Recovered,Lungs Recovered,2005,0.312656
Intestine,Recovered,Intestine Recovered,2005,0.024233
All,Transplanted,All Transplanted,2005,3.065718
Kidney,Transplanted,Kidney Transplanted,2005,1.462136
Pancreas,Transplanted,Pancreas Transplanted,2005,0.795601
Liver,Transplanted,Liver Transplanted,2005,0.288424
Heart,Transplanted,Heart Transplanted,2005,0.193073
Lungs,Transplanted,Lungs Transplanted,2005,0.303964
Intestine,Transplanted,Intestine Transplanted,2005,0.022521
All,Recovered,All Recovered,2004,3.516503
Kidney,Recovered,Kidney Recovered,2004,1.758042
Pancreas,Recovered,Pancreas Recovered,2004,0.883776
Liver,Recovered,Liver Recovered,2004,0.293147
Heart,Recovered,Heart Recovered,2004,0.282797
Lungs,Recovered,Lungs Recovered,2004,0.275524
Intestine,Recovered,Intestine Recovered,2004,0.023217
All,Transplanted,All Transplanted,2004,3.062517
Kidney,Transplanted,Kidney Transplanted,2004,1.466573
Pancreas,Transplanted,Pancreas Transplanted,2004,0.807972
Liver,Transplanted,Liver Transplanted,2004,0.29007
Heart,Transplanted,Heart Transplanted,2004,0.212028
Lungs,Transplanted,Lungs Transplanted,2004,0.265455
Intestine,Transplanted,Intestine Transplanted,2004,0.02042
All,Recovered,All Recovered,2003,3.546384
Kidney,Recovered,Kidney Recovered,2003,1.770637
Pancreas,Recovered,Pancreas Recovered,2003,0.879975
Liver,Recovered,Liver Recovered,2003,0.328171
Heart,Recovered,Heart Recovered,2003,0.274895
Lungs,Recovered,Lungs Recovered,2003,0.273811
Intestine,Recovered,Intestine Recovered,2003,0.018894
All,Transplanted,All Transplanted,2003,3.147282
Kidney,Transplanted,Kidney Transplanted,2003,1.512312
Pancreas,Transplanted,Pancreas Transplanted,2003,0.815084
Liver,Transplanted,Liver Transplanted,2003,0.324609
Heart,Transplanted,Heart Transplanted,2003,0.214341
Lungs,Transplanted,Lungs Transplanted,2003,0.26359
Intestine,Transplanted,Intestine Transplanted,2003,0.017346
All,Recovered,All Recovered,2002,3.621002
Kidney,Recovered,Kidney Recovered,2002,1.808724
Pancreas,Recovered,Pancreas Recovered,2002,0.85525
Liver,Recovered,Liver Recovered,2002,0.359128
Heart,Recovered,Heart Recovered,2002,0.3042
Lungs,Recovered,Lungs Recovered,2002,0.275606
Intestine,Recovered,Intestine Recovered,2002,0.018094
All,Transplanted,All Transplanted,2002,3.236026
Kidney,Transplanted,Kidney Transplanted,2002,1.566397
Pancreas,Transplanted,Pancreas Transplanted,2002,0.790468
Liver,Transplanted,Liver Transplanted,2002,0.35622
Heart,Transplanted,Heart Transplanted,2002,0.239095
Lungs,Transplanted,Lungs Transplanted,2002,0.266721
Intestine,Transplanted,Intestine Transplanted,2002,0.017124
All,Recovered,All Recovered,2001,3.605921
Kidney,Recovered,Kidney Recovered,2001,1.806743
Pancreas,Recovered,Pancreas Recovered,2001,0.839803
Liver,Recovered,Liver Recovered,2001,0.374342
Heart,Recovered,Heart Recovered,2001,0.299507
Lungs,Recovered,Lungs Recovered,2001,0.266447
Intestine,Recovered,Intestine Recovered,2001,0.019079
All,Transplanted,All Transplanted,2001,3.170888
Kidney,Transplanted,Kidney Transplanted,2001,1.547204
Pancreas,Transplanted,Pancreas Transplanted,2001,0.75625
Liver,Transplanted,Liver Transplanted,2001,0.369079
Heart,Transplanted,Heart Transplanted,2001,0.225987
Lungs,Transplanted,Lungs Transplanted,2001,0.253947
Intestine,Transplanted,Intestine Transplanted,2001,0.018421
All,Recovered,All Recovered,2000,3.592147
Kidney,Recovered,Kidney Recovered,2000,1.822723
Pancreas,Recovered,Pancreas Recovered,2000,0.834921
Liver,Recovered,Liver Recovered,2000,0.381621
Heart,Recovered,Heart Recovered,2000,0.283709
Lungs,Recovered,Lungs Recovered,2000,0.254637
Intestine,Recovered,Intestine Recovered,2000,0.014536
All,Transplanted,All Transplanted,2000,3.164912
Kidney,Transplanted,Kidney Transplanted,2000,1.550877
Pancreas,Transplanted,Pancreas Transplanted,2000,0.752715
Liver,Transplanted,Liver Transplanted,2000,0.376942
Heart,Transplanted,Heart Transplanted,2000,0.22523
Lungs,Transplanted,Lungs Transplanted,2000,0.245948
Intestine,Transplanted,Intestine Transplanted,2000,0.0132
All,Recovered,All Recovered,1999,3.628777
Kidney,Recovered,Kidney Recovered,1999,1.83774
Pancreas,Recovered,Pancreas Recovered,1999,0.849416
Liver,Recovered,Liver Recovered,1999,0.397665
Heart,Recovered,Heart Recovered,1999,0.279533
Lungs,Recovered,Lungs Recovered,1999,0.248111
Intestine,Recovered,Intestine Recovered,1999,0.016312
All,Transplanted,All Transplanted,1999,3.192479
Kidney,Transplanted,Kidney Transplanted,1999,1.584306
Pancreas,Transplanted,Pancreas Transplanted,1999,0.759787
Liver,Transplanted,Liver Transplanted,1999,0.385817
Heart,Transplanted,Heart Transplanted,1999,0.222356
Lungs,Transplanted,Lungs Transplanted,1999,0.228022
Intestine,Transplanted,Intestine Transplanted,1999,0.012191
All,Recovered,All Recovered,1998,3.592957
Kidney,Recovered,Kidney Recovered,1998,1.828759
Pancreas,Recovered,Pancreas Recovered,1998,0.836009
Liver,Recovered,Liver Recovered,1998,0.422406
Heart,Recovered,Heart Recovered,1998,0.252374
Lungs,Recovered,Lungs Recovered,1998,0.239945
Intestine,Recovered,Intestine Recovered,1998,0.013465
All,Transplanted,All Transplanted,1998,3.214224
Kidney,Transplanted,Kidney Transplanted,1998,1.602969
Pancreas,Transplanted,Pancreas Transplanted,1998,0.751079
Liver,Transplanted,Liver Transplanted,1998,0.413257
Heart,Transplanted,Heart Transplanted,1998,0.209909
Lungs,Transplanted,Lungs Transplanted,1998,0.225272
Intestine,Transplanted,Intestine Transplanted,1998,0.011738
All,Recovered,All Recovered,1997,3.661982
Kidney,Recovered,Kidney Recovered,1997,1.841577
Pancreas,Recovered,Pancreas Recovered,1997,0.839752
Liver,Recovered,Liver Recovered,1997,0.442782
Heart,Recovered,Heart Recovered,1997,0.241467
Lungs,Recovered,Lungs Recovered,1997,0.283263
Intestine,Recovered,Intestine Recovered,1997,0.013141
All,Transplanted,All Transplanted,1997,3.252966
Kidney,Transplanted,Kidney Transplanted,1997,1.615623
Pancreas,Transplanted,Pancreas Transplanted,1997,0.736813
Liver,Transplanted,Liver Transplanted,1997,0.429458
Heart,Transplanted,Heart Transplanted,1997,0.192553
Lungs,Transplanted,Lungs Transplanted,1997,0.266654
Intestine,Transplanted,Intestine Transplanted,1997,0.011863
