Organ,Type,OrganType,Year,Value,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2003,0.274895,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2003,0.273811,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2003,0.018894,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2003,3.147282,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2003,1.512312,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2003,0.815084,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2003,0.324609,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2003,0.214341,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2003,0.263590,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2003,0.017346,,,,,,,,,
All,Recovered,All Recovered,2002,22414.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2002,11196.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2002,5294.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2002,2223.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2002,1883.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2002,1706.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2002,112.000000,,,,,,,,,
All,Transplanted,All Transplanted,2002,20031.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2002,9696.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2002,4893.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2002,2205.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2002,1480.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2002,1651.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2002,106.000000,,,,,,,,,
All,Donors,All Donors,2002,6190.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2002,3.621002,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2002,1.808724,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2002,0.855250,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2002,0.359128,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2002,0.304200,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2002,0.275606,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2002,0.018094,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2002,3.236026,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2002,1.566397,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2002,0.790468,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2002,0.356220,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2002,0.239095,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2002,0.266721,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2002,0.017124,,,,,,,,,
All,Recovered,All Recovered,2001,21924.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2001,10985.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2001,5106.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2001,2276.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2001,1821.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2001,1620.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2001,116.000000,,,,,,,,,
All,Transplanted,All Transplanted,2001,19279.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2001,9407.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2001,4598.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2001,2244.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2001,1374.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2001,1544.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2001,112.000000,,,,,,,,,
All,Donors,All Donors,2001,6080.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2001,3.605921,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2001,1.806743,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2001,0.839803,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2001,0.374342,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2001,0.299507,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2001,0.266447,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2001,0.019079,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2001,3.170888,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2001,1.547204,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2001,0.756250,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2001,0.369079,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2001,0.225987,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2001,0.253947,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2001,0.018421,,,,,,,,,
All,Recovered,All Recovered,2000,21499.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2000,10909.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2000,4997.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2000,2284.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2000,1698.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2000,1524.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2000,87.000000,,,,,,,,,
All,Transplanted,All Transplanted,2000,18942.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2000,9282.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2000,4505.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2000,2256.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2000,1348.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2000,1472.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2000,79.000000,,,,,,,,,
All,Donors,All Donors,2000,5985.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2000,3.592147,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2000,1.822723,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2000,0.834921,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2000,0.381621,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2000,0.283709,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2000,0.254637,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2000,0.014536,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2000,3.164912,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2000,1.550877,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2000,0.752715,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2000,0.376942,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2000,0.225230,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2000,0.245948,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2000,0.013200,,,,,,,,,
All,Recovered,All Recovered,1999,21134.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,1999,10703.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,1999,4947.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,1999,2316.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,1999,1628.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,1999,1445.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,1999,95.000000,,,,,,,,,
All,Transplanted,All Transplanted,1999,18593.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,1999,9227.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,1999,4425.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,1999,2247.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,1999,1295.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,1999,1328.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,1999,71.000000,,,,,,,,,
All,Donors,All Donors,1999,5824.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,1999,3.628777,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,1999,1.837740,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,1999,0.849416,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,1999,0.397665,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,1999,0.279533,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,1999,0.248111,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,1999,0.016312,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,1999,3.192479,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,1999,1.584306,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,1999,0.759787,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,1999,0.385817,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,1999,0.222356,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,1999,0.228022,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,1999,0.012191,,,,,,,,,
All,Recovered,All Recovered,1998,20814.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,1998,10594.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,1998,4843.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,1998,2447.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,1998,1462.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,1998,1390.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,1998,78.000000,,,,,,,,,
All,Transplanted,All Transplanted,1998,18620.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,1998,9286.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,1998,4351.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,1998,2394.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,1998,1216.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,1998,1305.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,1998,68.000000,,,,,,,,,
All,Donors,All Donors,1998,5793.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,1998,3.592957,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,1998,1.828759,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,1998,0.836009,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,1998,0.422406,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,1998,0.252374,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,1998,0.239945,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,1998,0.013465,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,1998,3.214224,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,1998,1.602969,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,1998,0.751079,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,1998,0.413257,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,1998,0.209909,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,1998,0.225272,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,1998,0.011738,,,,,,,,,
All,Recovered,All Recovered,1997,20064.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,1997,10090.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,1997,4601.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,1997,2426.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,1997,1323.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,1997,1552.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,1997,72.000000,,,,,,,,,
All,Transplanted,All Transplanted,1997,17823.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,1997,8852.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,1997,4037.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,1997,2353.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,1997,1055.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,1997,1461.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,1997,65.000000,,,,,,,,,
All,Donors,All Donors,1997,5479.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,1997,3.661982,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,1997,1.841577,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,1997,0.839752,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,1997,0.442782,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,1997,0.241467,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,1997,0.283263,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,1997,0.013141,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,1997,3.252966,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,1997,1.615623,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,1997,0.736813,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,1997,0.429458,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,1997,0.192553,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,1997,0.266654,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,1997,0.011863,,,,,,,,,
