Organ,Type,OrganType,Year,Value,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2012,2421.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2012,1079.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2012,3019.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2012,106.000000,,,,,,,,,
All,Donors,All Donors,2012,8143.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2012,3.512465,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2012,1.811863,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2012,0.814196,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2012,0.300995,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2012,0.178190,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2012,0.393221,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2012,0.014000,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2012,3.015719,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2012,1.472553,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2012,0.729584,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2012,0.297311,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2012,0.132506,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2012,0.370748,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2012,0.013017,,,,,,,,,
All,Recovered,All Recovered,2011,28846.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2011,14786.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2011,6684.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2011,2380.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2011,1562.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2011,3299.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2011,135.000000,,,,,,,,,
All,Transplanted,All Transplanted,2011,24966.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2011,12140.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2011,6030.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2011,2365.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2011,1143.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2011,3159.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2011,129.000000,,,,,,,,,
All,Donors,All Donors,2011,8126.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2011,3.549840,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2011,1.819591,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2011,0.822545,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2011,0.292887,,,,,,,,,
