ID AU
0.1768 0.4363
0.1962 0.4253
0.2019 0.4159
0.0969 0.3494
0.0803 0.3403
0.0583 0.3398
0.0611 0.3499
0.0243 0.3644
0.0267 0.3709
-0.0757 0.4386
-0.1440 0.4901
ID TN
0.1306 0.6521
0.1401 0.6109
0.1269 0.5997
0.1550 0.5665
0.1604 0.5355
0.1813 0.5372
0.1798 0.5507
0.2056 0.5671
0.2044 0.5810
0.1801 0.5948
0.1792 0.6002
0.1963 0.6123
0.1970 0.6227
0.1850 0.6274
0.1869 0.6356
0.1988 0.6484
0.1306 0.6521
ID LY
0.2044 0.5810
0.2056 0.5671
0.1798 0.5507
0.1813 0.5372
0.1604 0.5355
0.1681 0.4707
0.1592 0.4590
0.1768 0.4363
0.1962 0.4253
0.2019 0.4159
0.2548 0.4009
0.2880 0.4086
0.4262 0.3379
0.4260 0.3534
0.4454 0.3562
0.4454 0.5166
0.4342 0.5309
0.4503 0.5411
0.4538 0.5590
0.3903 0.5789
0.3513 0.5597
0.3541 0.5433
0.3403 0.5363
0.3150 0.5428
0.2789 0.5507
0.2728 0.5733
0.2044 0.5810
ID EG
0.4460 0.3866
0.4454 0.5166
0.4342 0.5309
0.4503 0.5411
0.4726 0.5529
0.5061 0.5411
0.5266 0.5538
0.5550 0.5538
0.5615 0.5445
0.6007 0.5499
0.6126 0.5185
0.6021 0.4852
0.5718 0.5245
0.6269 0.4218
0.6234 0.4056
0.6500 0.3873
0.4460 0.3866
ID SD
0.6500 0.3873
0.4460 0.3866
0.4454 0.3562
0.4260 0.3534
0.4262 0.3379
0.4222 0.2793
0.4047 0.2793
0.3840 0.2269
0.4138 0.1775
0.4133 0.1618
0.4248 0.1571
0.4974 0.0785
0.5180 0.0873
0.5440 0.0675
0.5890 0.0707
0.6156 0.0895
0.6313 0.0850
0.6301 0.1000
0.6196 0.0983
0.5934 0.1370
0.5807 0.1396
0.5810 0.1496
0.5990 0.1559
0.6067 0.1955
0.6360 0.2269
0.6347 0.2724
0.6493 0.3014
0.6756 0.3168
0.6589 0.3311
0.6550 0.3709
0.6500 0.3873
ID ET
0.6313 0.0850
0.6301 0.1000
0.6196 0.0983
0.5934 0.1370
0.5807 0.1396
0.5810 0.1496
0.5990 0.1559
0.6067 0.1955
0.6360 0.2269
0.6347 0.2724
0.7082 0.2491
0.7408 0.2202
0.7453 0.2239
0.7316 0.2021
0.7344 0.1962
0.7500 0.1958
0.7472 0.1897
0.7727 0.1571
0.8390 0.1426
0.7889 0.0902
0.7336 0.0731
0.7156 0.0780
0.6955 0.0665
0.6683 0.0654
0.6508 0.0806
ID ER
0.7408 0.2202
0.7082 0.2491
0.6347 0.2724
0.6493 0.3014
0.6756 0.3168
0.6878 0.2813
0.6981 0.2690
0.7062 0.2775
0.7547 0.2251
0.7502 0.2175
0.7453 0.2239
ID DJ
0.7502 0.2175
0.7453 0.2239
0.7316 0.2021
0.7344 0.1962
0.7500 0.1958
0.7585 0.2028
0.7535 0.2044
0.7449 0.2044
0.7587 0.2103
0.7587 0.2187
0.7502 0.2175
ID SO
0.7500 0.1958
0.7472 0.1897
0.7727 0.1571
0.8390 0.1426
0.7889 0.0902
0.7336 0.0731
0.7170 0.0524
0.7170 -0.0127
0.7261 -0.0284
0.7793 0.0284
0.8034 0.0431
0.8374 0.0771
0.8889 0.1648
0.8901 0.1796
0.8988 0.1833
0.8966 0.2068
0.8845 0.2103
0.8826 0.2059
0.7913 0.1838
0.7744 0.1855
0.7500 0.1958
ID KE
0.6508 0.0806
0.6683 0.0654
0.6955 0.0665
0.7156 0.0780
0.7336 0.0731
0.7170 0.0524
0.7170 -0.0127
0.7261 -0.0284
0.6880 -0.0771
0.6603 -0.0600
0.6618 -0.0485
0.5955 -0.0119
0.5955 0.0072
0.6121 0.0239
0.6117 0.0538
0.5969 0.0785
0.6156 0.0895
0.6313 0.0850
0.6508 0.0806
ID UG
0.5955 0.0072
0.6121 0.0239
0.6117 0.0538
0.5969 0.0785
0.5890 0.0707
0.5440 0.0675
0.5411 0.0480
0.5484 0.0422
0.5254 0.0175
0.5192 -0.0166
0.5358 -0.0145
0.5955 0.0072
ID RW
0.5192 -0.0166
0.5358 -0.0145
0.5440 -0.0346
0.5355 -0.0379
0.5288 -0.0349
0.5236 -0.0450
0.5088 -0.0405
0.5138 -0.0251
0.5192 -0.0166
ID BI
0.5355 -0.0379
0.5288 -0.0349
0.5236 -0.0450
0.5088 -0.0405
0.5203 -0.0721
0.5419 -0.0529
0.5419 -0.0445
0.5358 -0.0445
0.5355 -0.0379
ID TZ
0.6880 -0.0771
0.6603 -0.0600
0.6618 -0.0485
0.5955 -0.0119
0.5955 0.0072
0.5358 -0.0145
0.5192 -0.0166
0.5138 -0.0251
0.5088 -0.0405
0.5355 -0.0379
0.5358 -0.0445
0.5419 -0.0445
0.5419 -0.0529
0.5203 -0.0721
0.5201 -0.1047
0.5411 -0.1354
0.5845 -0.1606
0.5997 -0.1621
0.6062 -0.1710
0.6095 -0.1955
0.6618 -0.2005
0.7103 -0.1778
0.6952 -0.1689
0.6915 -0.1166
0.6816 -0.1012
0.6880 -0.0771
ID MW
0.5845 -0.1606
0.5997 -0.1621
0.6062 -0.1710
0.6095 -0.1955
0.6056 -0.2274
0.6306 -0.2508
0.6271 -0.2749
0.6182 -0.2894
0.5999 -0.2731
0.6086 -0.2604
0.6034 -0.2456
0.5917 -0.2515
0.5794 -0.2391
0.5747 -0.2316
0.5845 -0.1606
ID MZ
0.7103 -0.1778
0.6618 -0.2005
0.6095 -0.1955
0.6056 -0.2274
0.6306 -0.2508
0.6271 -0.2749
0.6182 -0.2894
0.5999 -0.2731
0.6086 -0.2604
0.6034 -0.2456
0.5917 -0.2515
0.5794 -0.2391
0.5309 -0.2588
0.5377 -0.2653
0.5376 -0.2772
0.5512 -0.2742
0.5836 -0.2880
0.5856 -0.3426
0.5519 -0.3873
0.5636 -0.4465
0.5658 -0.4620
0.5812 -0.4639
0.5822 -0.4419
0.6269 -0.4189
0.6117 -0.3449
0.7130 -0.2653
0.7103 -0.1778
ID MG
0.7784 -0.2793
0.7685 -0.2993
0.7788 -0.3407
0.7573 -0.3779
0.7627 -0.4215
0.7871 -0.4393
0.8271 -0.4320
0.8840 -0.2656
0.8798 -0.2543
0.8748 -0.2234
0.8603 -0.2039
0.8519 -0.2124
0.8557 -0.2257
0.8296 -0.2562
0.7784 -0.2793
ID LS
0.5041 -0.4946
0.4751 -0.5142
0.4964 -0.5323
0.5018 -0.5189
0.5184 -0.5056
0.5041 -0.4946
ID SZ
0.5636 -0.4465
0.5657 -0.4756
0.5491 -0.4718
0.5419 -0.4630
0.5503 -0.4463
0.5636 -0.4465
ID ZA
0.5519 -0.3873
0.5636 -0.4465
0.5658 -0.4620
0.5812 -0.4639
0.5725 -0.4946
0.5585 -0.5011
0.5369 -0.5372
0.4742 -0.5859
0.3679 -0.5952
0.3550 -0.6100
0.3136 -0.5685
0.3257 -0.5606
0.2885 -0.4967
0.3054 -0.4822
0.3129 -0.4969
0.3417 -0.5035
0.3578 -0.4892
0.3538 -0.4290
0.3716 -0.4526
0.3648 -0.4588
0.3695 -0.4662
0.3834 -0.4653
0.4032 -0.4440
0.4115 -0.4376
0.4294 -0.4454
0.4512 -0.4396
0.4597 -0.4262
0.4712 -0.4198
0.4800 -0.4035
0.5161 -0.3831
0.5519 -0.3873
ID ZA
0.2545 -0.3882
0.2702 -0.3981
0.2566 -0.4002
0.2545 -0.3882
ID NA
0.2885 -0.4967
0.3054 -0.4822
0.3129 -0.4969
0.3417 -0.5035
0.3578 -0.4892
0.3538 -0.4290
0.3550 -0.3805
0.3718 -0.3817
0.3704 -0.3112
0.3339 -0.3089
0.3299 -0.2985
0.2494 -0.3005
0.2353 -0.2911
0.2136 -0.2967
0.2091 -0.3138
0.2545 -0.3882
0.2702 -0.3981
0.2566 -0.4002
0.2653 -0.4451
0.2885 -0.4967
ID BW
0.3550 -0.3805
0.3718 -0.3817
0.3704 -0.3112
0.4115 -0.3119
0.4166 -0.3222
0.4423 -0.3100
0.4634 -0.3393
0.4908 -0.3553
0.4934 -0.3721
0.5161 -0.3831
0.4800 -0.4035
0.4712 -0.4198
0.4597 -0.4262
0.4512 -0.4396
0.4294 -0.4454
0.4115 -0.4376
0.4032 -0.4440
0.3834 -0.4653
0.3695 -0.4662
0.3648 -0.4588
0.3716 -0.4526
0.3538 -0.4290
ID ZW
0.3704 -0.3112
0.4115 -0.3119
0.4166 -0.3222
0.4423 -0.3100
0.4634 -0.3393
0.4908 -0.3553
0.4934 -0.3721
0.5161 -0.3831
0.5519 -0.3873
0.5856 -0.3426
0.5836 -0.2880
0.5512 -0.2742
0.5376 -0.2772
0.5377 -0.2653
0.5114 -0.2728
0.5074 -0.2843
0.4892 -0.2923
0.4725 -0.3115
0.4360 -0.3014
0.3704 -0.3112
ID ZM
0.5411 -0.1354
0.5845 -0.1606
0.5747 -0.2316
0.5794 -0.2391
0.5309 -0.2588
0.5377 -0.2653
0.5114 -0.2728
0.5074 -0.2843
0.4892 -0.2923
0.4725 -0.3115
0.4360 -0.3014
0.3913 -0.2775
0.3883 -0.2227
0.4218 -0.2194
0.4236 -0.1864
0.4494 -0.1925
0.4487 -0.2044
0.4726 -0.2089
0.4800 -0.1991
0.4831 -0.2107
0.5004 -0.2145
0.5149 -0.2299
0.5250 -0.2302
0.5227 -0.2089
0.5070 -0.2098
0.4988 -0.1979
0.5049 -0.1766
0.4983 -0.1583
0.5070 -0.1452
0.5411 -0.1354
ID CD
0.4236 -0.1864
0.4494 -0.1925
0.4487 -0.2044
0.4726 -0.2089
0.4800 -0.1991
0.4831 -0.2107
0.5004 -0.2145
0.5149 -0.2299
0.5250 -0.2302
0.5227 -0.2089
0.5070 -0.2098
0.4988 -0.1979
0.5049 -0.1766
0.4983 -0.1583
0.5070 -0.1452
0.5411 -0.1354
0.5201 -0.1047
0.5203 -0.0721
0.5088 -0.0405
0.5138 -0.0251
0.5192 -0.0166
0.5254 0.0175
0.5484 0.0422
0.5411 0.0480
0.5440 0.0675
0.5180 0.0873
0.4974 0.0785
0.4491 0.0969
0.4047 0.0873
0.3981 0.0775
0.3636 0.0778
0.3543 0.0941
0.3388 0.0899
0.3286 0.0785
0.3290 0.0597
0.3185 0.0400
0.3049 -0.0145
0.2869 -0.0391
0.2866 -0.0574
0.2574 -0.0834
0.2553 -0.0716
0.2334 -0.0794
0.2222 -0.0885
0.2182 -0.0932
0.2175 -0.1080
0.2880 -0.1018
0.3121 -0.1396
0.3403 -0.1384
0.3468 -0.1152
0.3660 -0.1183
0.3656 -0.1265
0.3862 -0.1244
0.3845 -0.1627
0.3927 -0.1780
0.3922 -0.1899
0.4236 -0.1864
ID AO
0.2334 -0.0794
0.2222 -0.0885
0.2182 -0.0932
0.2129 -0.0808
0.2281 -0.0740
0.2334 -0.0794
ID AO
0.2175 -0.1080
0.2880 -0.1018
0.3121 -0.1396
0.3403 -0.1384
0.3468 -0.1152
0.3660 -0.1183
0.3656 -0.1265
0.3862 -0.1244
0.3845 -0.1627
0.3927 -0.1780
0.3922 -0.1899
0.4236 -0.1864
0.4218 -0.2194
0.3883 -0.2227
0.3913 -0.2775
0.4360 -0.3014
0.3704 -0.3112
0.3339 -0.3089
0.3299 -0.2985
0.2494 -0.3005
0.2353 -0.2911
0.2136 -0.2967
0.2080 -0.2700
0.2290 -0.2187
0.2414 -0.2100
0.2452 -0.1854
0.2307 -0.1576
0.2393 -0.1435
0.2175 -0.1080
ID CG
0.3290 0.0597
0.3185 0.0400
0.3049 -0.0145
0.2869 -0.0391
0.2866 -0.0574
0.2574 -0.0834
0.2553 -0.0716
0.2334 -0.0794
0.2222 -0.0885
0.2182 -0.0932
0.2129 -0.0808
0.1988 -0.0663
0.2138 -0.0559
0.2072 -0.0401
0.2236 -0.0398
0.2218 -0.0298
0.2311 -0.0288
0.2307 -0.0408
0.2508 -0.0391
0.2604 -0.0113
0.2477 -0.0017
0.2477 0.0086
0.2567 0.0147
0.2527 0.0265
0.2365 0.0230
0.2379 0.0417
0.2834 0.0326
0.2883 0.0457
0.2971 0.0620
0.3290 0.0597
ID GQ
0.2012 0.0417
0.2012 0.0213
0.1719 0.0209
0.1772 0.0426
0.2012 0.0417
ID GA
0.1988 -0.0663
0.2138 -0.0559
0.2072 -0.0401
0.2236 -0.0398
0.2218 -0.0298
0.2311 -0.0288
0.2307 -0.0408
0.2508 -0.0391
0.2604 -0.0113
0.2477 -0.0017
0.2477 0.0086
0.2567 0.0147
0.2527 0.0265
0.2365 0.0230
0.2379 0.0417
0.2012 0.0417
0.2012 0.0213
0.1719 0.0209
0.1644 0.0209
0.1550 0.0147
0.1988 -0.0663
ID CF
0.2883 0.0457
0.2971 0.0620
0.3290 0.0597
0.3286 0.0785
0.3388 0.0899
0.3543 0.0941
0.3636 0.0778
0.3981 0.0775
0.4047 0.0873
0.4491 0.0969
0.4974 0.0785
0.4248 0.1571
0.4133 0.1618
0.4138 0.1775
0.3834 0.1894
0.3854 0.1836
0.3656 0.1618
0.3355 0.1604
0.3311 0.1480
0.2979 0.1332
0.2901 0.1408
0.2780 0.1370
0.2580 0.1070
0.2662 0.0716
0.2883 0.0457
ID TD
0.4138 0.1775
0.3834 0.1894
0.3854 0.1836
0.3656 0.1618
0.3355 0.1604
0.3311 0.1480
0.2979 0.1332
0.2901 0.1408
0.2780 0.1370
0.2478 0.1751
0.2772 0.1787
0.2686 0.1929
0.2656 0.2264
0.2503 0.2299
0.2418 0.2443
0.2400 0.2426
0.2379 0.2559
0.2742 0.2981
0.2819 0.3627
0.2691 0.3822
0.2548 0.4009
0.2880 0.4086
0.4262 0.3379
0.4222 0.2793
0.4047 0.2793
0.3840 0.2269
0.4138 0.1775
0.4133 0.1618
0.4138 0.1775
ID CM
0.1772 0.0426
0.2012 0.0417
0.2379 0.0417
0.2379 0.0417
0.2834 0.0326
0.2883 0.0457
0.2662 0.0716
0.2580 0.1070
0.2780 0.1370
0.2478 0.1751
0.2772 0.1787
0.2686 0.1929
0.2656 0.2264
0.2503 0.2299
0.2531 0.2203
0.2615 0.2142
0.2585 0.2042
0.2443 0.1963
0.2056 0.1208
0.1983 0.1201
0.1917 0.1293
0.1827 0.1269
0.1576 0.1035
0.1510 0.0831
0.1745 0.0632
0.1772 0.0426
ID NG
0.2418 0.2443
0.2503 0.2299
0.2531 0.2203
0.2615 0.2142
0.2585 0.2042
0.2443 0.1963
0.2056 0.1208
0.1983 0.1201
0.1917 0.1293
0.1827 0.1269
0.1576 0.1035
0.1510 0.0831
0.1086 0.0791
0.0789 0.1129
0.0506 0.1134
0.0524 0.1583
0.0677 0.1829
0.0656 0.2128
0.0761 0.2391
0.1098 0.2438
0.1251 0.2334
0.1405 0.2361
0.1693 0.2269
0.1854 0.2368
0.2044 0.2382
0.2225 0.2295
0.2418 0.2443
ID NE
0.0803 0.3403
0.0785 0.2885
0.0651 0.2740
0.0272 0.2726
0.0204 0.2651
0.0087 0.2677
0.0328 0.2248
0.0656 0.2128
0.0761 0.2391
0.1098 0.2438
0.1251 0.2334
0.1405 0.2361
0.1693 0.2269
0.1854 0.2368
0.2044 0.2382
0.2225 0.2295
