,Y2000,Y2001,Y2002,Y2000inThousands,Y2001inThousands,Y2002inThousands,Y2000Log10,Y2001Log10,Y2002Log10
TO,351,328,335,0.351,0.328,0.335,2.545307116,2.515873844,2.525044807
TR,2613,3229,3400,2.613,3.229,3.4,3.41713941,3.509068045,3.531478917
TT,6660,6665,5771,6.66,6.665,5.771,3.823474229,3.823800154,3.761251074
TV,2,1,1,0.002,0.001,0.001,0.301029996,0,0
TW,9040,12171,9836,9.04,12.171,9.836,3.95616843,4.085326262,3.99281852
TZ,481,477,584,0.481,0.477,0.584,2.682145076,2.678518379,2.766412847
UA,15810,20975,21217,15.81,20.975,21.217,4.19893187,4.32170197,4.326683976
UG,423,459,577,0.423,0.459,0.577,2.626340367,2.661812686,2.761175813
US,35,63,66,0.035,0.063,0.066,1.544068044,1.799340549,1.819543936
UY,430,545,539,0.43,0.545,0.539,2.633468456,2.736396502,2.731588765
UZ,1659,2035,2319,1.659,2.035,2.319,3.219846386,3.308564414,3.365300749
VC,500,563,481,0.5,0.563,0.481,2.698970004,2.750508395,2.682145076
VE,4716,5205,5259,4.716,5.205,5.259,3.673573796,3.716420734,3.720903171
VG,67,70,44,0.067,0.07,0.044,1.826074803,1.84509804,1.643452676
VI,3,6,9,0.003,0.006,0.009,0.477121255,0.77815125,0.954242509
VN,26747,35531,33627,26.747,35.531,33.627,4.427275078,4.550607431,4.526688124
VU,2,5,8,0.002,0.005,0.008,0.301029996,0.698970004,0.903089987
WF,0,1,0,0,0.001,0,0,0,0
WS,184,171,160,0.184,0.171,0.16,2.264817823,2.23299611,2.204119983
YE,1789,1615,1228,1.789,1.615,1.228,3.252610341,3.208172527,3.089198367
YU,2774,6240,10401,2.774,6.24,10.401,3.443106457,3.79518459,4.017075096
ZA,2833,4100,3880,2.833,4.1,3.88,3.452246575,3.612783857,3.588831726
ZM,211,296,312,0.211,0.296,0.312,2.324282455,2.471291711,2.494154594
ZW,323,476,492,0.323,0.476,0.492,2.509202522,2.677606953,2.691965103
