x,y
7,91
18.5,91
21.5,91
47.5,91
63.5,91
82.5,91
93,90
98,84
94,84
99,79
98,75
101,79
101,71
98,63.5
103,63.5
109.5,69
112.5,71.5
115,73
115,77
125,77
125,84
130,89
135.5,89
141,89
142.5,89
147,97
152,93
153,83
145.5,74.5
149,72.5
150,73
152,73
152,66
147.5,65
142.5,64
137,62
137,54
132.5,51.5
132.5,48.5
127,43.5
127.5,43
125,40.5
127.5,40.5
126.5,37
117,29.5
118.5,28.5
109.5,23.5
108,18.5
112,6
109,1
103,5
102,13
100,16
91.5,16
88.5,17
84.5,17
85.5,12
72.5,15
67,9
67,2
61,5
57,14
52,14
42.5,24.5
42.5,23
38.5,23
32,23
24.5,27
20,27
20,29
12,33
1,55
1,61.5
1,67
3,77.5
1,89
7,89

9,23
16,20
16,10
13,12
2,5
7,10
4,12
7,15
4,15
4,17
7,16
5,19

38,12
41,10
40,5
35,2
32,7

35,11
36.5,12.5
34,12
33.5,12.5

135,47
140,42
135,36.5
135,40
130.5,43
 , 
