fips,pop_total,pop_nhWhite,pop_black,pop_Hisp,popPctBlk,popPctHisp,Households,HHEnglish,HHPctNonEnglish,HHPctLingIsolated,PctForeignBorn,FamMedInc,FamMedIncBlk,FamMedIncHisp,FamMedIncNHWht,PctPovBlk,PctPovHisp,PctPovNHWht,PctAllPov,PctCrowdedBlk,PctCrowdedHisp,PctCrowdedNHWht,HHmedValueBlk,HHmedValueHisp,HHmedValueNHWht,X2006.2005,ALLpop2005,ALLpop2006,ALLpop2007,ALLpc0506,ALLpc0507,ALLpc0607,Wpop2005,Wpop2006,Wpop2007,Wpc0506,Wpc0507,Wpc0607,WFpop2005,WFpop2006,WFpop2007,WFpc0506,WFpc0507,WFpc0607,WMpop2005,WMpop2006,WMpop2007,WMpc0506,WMpc0507,WMpc0607,Bpop2005,Bpop2006,Bpop2007,Bpc0506,Bpc0507,Bpc0607,BFpop2005,BFpop2006,BFpop2007,BFpc0506,BFpc0507,BFpc0607,BMpop2005,BMpop2006,BMpop2007,BMpc0506,BMpc0507,BMpc0607,Hpop2005,Hpop2006,Hpop2007,Hpc0506,Hpc0507,Hpc0607,HFpop2005,HFpop2006,HFpop2007,HFpc0506,HFpc0507,HFpc0607,HMpop2005,HMpop2006,HMpop2007,HMpc0506,HMpc0507,HMpc0607,Apop2005,Apop2006,Apop2007,Apc0506,Apc0507,Apc0607
22041,21263,14170,6650,87,0.3127,0.0041,7789,7504,0.0366,0.0019,0.006,27440,14103,24750,32450,0.5136,0.1538,0.1223,0.2844,0.1223,0.1579,0.0294,34200,87500,53000,-1.43,20170,20091,20060,-0.391670798,-0.545364403,-0.154297944,13532,13333,13345,-1.470588235,-1.381909548,0.09000225,7010,6901,6903,-1.554921541,-1.52639087,0.028981307,6522,6432,6442,-1.379944802,-1.226617602,0.155472637,6289,6401,6347,1.780887263,0.92224519,-0.843618185,3374,3430,3401,1.659751037,0.800237107,-0.84548105,2915,2971,2946,1.92109777,1.063464837,-0.841467519,128,131,135,2.34375,5.46875,3.053435115,55,55,57,0,3.636363636,3.636363636,73,76,78,4.109589041,6.849315068,2.631578947,37,39,40,5.405405405,8.108108108,2.564102564
22043,18698,15934,2173,125,0.1162,0.0067,7056,6683,0.0529,0.0026,0.0053,34878,15851,42656,36411,0.4245,0,0.1362,0.2148,0.0748,0.1739,0.0277,36500,65000,60400,1.64,19296,19713,19758,2.161069652,2.394278607,0.228275757,16327,16593,16637,1.62920316,1.898695413,0.265172061,8239,8385,8411,1.772059716,2.087631994,0.310077519,8088,8208,8226,1.483679525,1.706231454,0.219298246,2265,2393,2367,5.651214128,4.503311258,-1.086502298,1224,1285,1268,4.983660131,3.594771242,-1.322957198,1041,1108,1099,6.436119116,5.571565802,-0.812274368,210,215,219,2.380952381,4.285714286,1.860465116,99,101,103,2.02020202,4.04040404,1.98019802,111,114,116,2.702702703,4.504504505,1.754385965,55,61,68,10.90909091,23.63636364,11.47540984
22045,73266,47109,21967,1062,0.2998,0.0145,25319,18725,0.2604,0.0297,0.0203,36017,19386,31667,42722,0.4217,0.1868,0.1132,0.2355,0.1322,0.1684,0.0453,55700,82700,80000,0.06,73654,74690,74965,1.406576696,1.779944063,0.368188513,46701,46702,46675,0.002141282,-0.055673326,-0.05781337,23931,23926,23904,-0.020893402,-0.11282437,-0.09195018,22770,22776,22771,0.026350461,0.004391744,-0.021952933,23316,24234,24402,3.937210499,4.657745754,0.693240901,12495,13003,13088,4.065626251,4.745898359,0.653695301,10821,11231,11314,3.788928934,4.555956011,0.73902591,1113,1139,1206,2.336028751,8.355795148,5.882352941,509,520,547,2.161100196,7.465618861,5.192307692,604,619,659,2.483443709,9.105960265,6.462035541,1566,1643,1691,4.916985951,7.982120051,2.921485088
22047,33320,16244,16438,429,0.4933,0.0129,10672,9683,0.0927,0.0052,0.0068,34100,21521,33438,46227,0.3589,0.165,0.0697,0.2311,0.104,0.1029,0.0275,59700,77900,87900,-0.24,32229,32847,32501,1.917527692,0.843960408,-1.053368649,15653,15595,15452,-0.370535999,-1.284098895,-0.916960564,7889,7863,7790,-0.329572823,-1.254911903,-0.92839883,7764,7732,7662,-0.412158681,-1.313755796,-0.905328505,15988,16636,16424,4.05303978,2.727045284,-1.274344794,7958,8308,8199,4.398089972,3.028399095,-1.311988445,8030,8328,8225,3.711083437,2.428393524,-1.236791547,291,311,316,6.872852234,8.591065292,1.607717042,157,166,169,5.732484076,7.643312102,1.807228916,134,145,147,8.208955224,9.701492537,1.379310345,97,100,96,3.092783505,-1.030927835,-4
22049,15397,10879,4312,43,0.2801,0.0028,6114,5891,0.0365,3.00E-04,0.0045,36317,21557,24583,41664,0.3706,0,0.0852,0.1984,0.0803,0.6,0.0241,44700,47500,56700,0.48,15068,15265,15139,1.307406424,0.471197239,-0.825417622,10691,10738,10653,0.439622112,-0.355439154,-0.7915813,5498,5519,5480,0.381957075,-0.327391779,-0.706649755,5193,5219,5173,0.500673984,-0.385133834,-0.881394903,4091,4233,4187,3.471033977,2.34661452,-1.08669974,2260,2333,2308,3.230088496,2.123893805,-1.071581655,1831,1900,1879,3.768432551,2.621518296,-1.105263158,136,141,144,3.676470588,5.882352941,2.127659574,63,65,66,3.174603175,4.761904762,1.538461538,73,76,78,4.109589041,6.849315068,2.631578947,40,41,40,2.5,0,-2.43902439
22051,455466,298244,103335,32227,0.2269,0.0708,176424,147868,0.1619,0.0265,0.0748,45834,27747,38940,52466,0.271,0.1178,0.0555,0.1365,0.1158,0.1623,0.0216,74800,95100,116000,-5.92,449640,420891,423520,-6.393781692,-5.809091718,0.624627279,272757,255970,250535,-6.154562486,-8.147178624,-2.123295699,141358,133133,130105,-5.818559968,-7.960638945,-2.274417312,131399,122837,120430,-6.516031324,-8.347856529,-1.959507315,118509,108866,114472,-8.136934748,-3.406492334,5.149449782,63257,57817,60784,-8.599838753,-3.909448757,5.131708667,55252,51049,53688,-7.606964454,-2.830666763,5.169542988,35318,33879,36084,-4.074409649,2.168865734,6.508456566,17849,17220,18207,-3.524006947,2.005714606,5.731707317,17469,16659,17877,-4.636785162,2.33556586,7.311363227,15402,14996,14989,-2.636021296,-2.681469939,-0.046679114
22053,31435,25118,5407,402,0.172,0.0128,11519,7937,0.311,0.03,0.0058,33129,20608,35833,36192,0.3797,0.4342,0.1364,0.2087,0.078,0.2535,0.0365,46400,36400,62900,0.51,30930,31257,31177,1.057225994,0.798577433,-0.255942669,24641,24762,24722,0.4910515,0.328720425,-0.16153784,12758,12830,12792,0.564351779,0.266499451,-0.296180826,11883,11932,11930,0.412353783,0.395523016,-0.016761649,5469,5651,5580,3.32784787,2.029621503,-1.256414794,2911,3005,2963,3.229130883,1.786327722,-1.397670549,2558,2646,2617,3.440187647,2.306489445,-1.095993953,334,341,356,2.095808383,6.586826347,4.398826979,158,161,164,1.898734177,3.797468354,1.863354037,176,180,192,2.272727273,9.090909091,6.666666667,85,91,96,7.058823529,12.94117647,5.494505495
22055,190503,137867,44926,3400,0.2358,0.0178,72412,51854,0.2839,0.0294,0.025,45158,23114,45071,52226,0.309,0.1519,0.0604,0.1572,0.1236,0.1175,0.0244,57900,111900,111000,1.39,197428,203457,204843,3.053771502,3.755799583,0.681225025,139191,140900,141678,1.227809269,1.786753454,0.552164656,70939,71829,72184,1.254599022,1.755028969,0.49422935,68252,69071,69494,1.199964836,1.819726894,0.612413314,49302,52985,53184,7.470285181,7.873919922,0.375577994,25931,27893,27974,7.566233466,7.878600902,0.29039544,23371,25092,25210,7.363826965,7.868726199,0.470269409,3978,4261,4548,7.114127702,14.32880845,6.735508097,1938,2086,2224,7.636738906,14.75748194,6.615532119,2040,2175,2324,6.617647059,13.92156863,6.850574713,2739,2951,3015,7.740051114,10.07667032,2.168756354
22057,89974,73973,11201,1464,0.1245,0.0163,32093,20890,0.3491,0.043,0.0148,40504,16035,33500,43798,0.4597,0.1678,0.088,0.1653,0.1356,0.225,0.042,55200,98800,80400,0.95,91433,92878,92713,1.5803922,1.399932191,-0.177652404,74178,74785,74511,0.818301922,0.448920165,-0.366383633,37875,38210,38048,0.884488449,0.456765677,-0.423972782,36303,36575,36463,0.749249373,0.440734925,-0.306220096,12089,12794,12751,5.83174787,5.47605261,-0.336095045,6503,6882,6858,5.828079348,5.459018914,-0.348735833,5586,5912,5893,5.836018618,5.495882564,-0.321380244,1516,1631,1722,7.585751979,13.5883905,5.579399142,711,770,818,8.298171589,15.04922644,6.233766234,805,861,904,6.956521739,12.29813665,4.994192799,721,745,769,3.328710125,6.65742025,3.22147651
22059,14282,12200,1757,115,0.123,0.0081,5288,5052,0.0446,8.00E-04,0.0064,36197,15000,27500,37236,0.4275,0.05,0.1289,0.1875,0.0531,0.1935,0.0138,29200,32500,55200,0.92,13904,14046,14041,1.021288838,0.985327963,-0.035597323,11778,11885,11864,0.908473425,0.730174902,-0.176693311,6045,6105,6087,0.992555831,0.694789082,-0.294840295,5733,5780,5777,0.819815106,0.767486482,-0.051903114,1770,1795,1807,1.412429379,2.09039548,0.668523677,664,677,684,1.957831325,3.012048193,1.033973412,1106,1118,1123,1.084990958,1.537070524,0.447227191,120,123,122,2.5,1.666666667,-0.81300813,59,61,61,3.389830508,3.389830508,0,61,62,61,1.639344262,0,-1.612903226,25,25,24,0,-4,-4
