Continent,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,13.5,13.4,13.4,13.2,12.9,12.6,12.3,12.1,11.8,11.6,11.3,11.1,10.9,10.7,10.6
Asia,7.4,7.3,7.2,7.1,7,6.9,7,7,7,7,7,7.1,7.1,7.1,7.2
Europe,11.4,11.6,11.7,11.4,11.5,11.4,11.4,11.5,11.5,11.5,11.5,11.6,11.6,11.7,11.7
North America,8.3,8.3,8.3,8.1,8.2,8.1,8,8,8.2,8.3,8.3,8.4,8.4,8.4,8.4
Australia,6.8,6.9,6.8,6.7,6.5,6.6,6.7,6.7,6.8,6.9,6.9,7,7,7.1,7.2
South America,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
