Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,27.1,27.8,28.4,29.1,29.8,30.5,31.2,31.9,32.7,33.4,34.2,35,35.8,36.6,37.4,38.2
Asia,118.6,120.1,121.6,123,124.4,125.8,127.3,128.7,130.1,131.5,132.8,134.2,135.5,136.8,138.2,139.4
Europe,46.3,46.3,46.3,46.3,46.4,46.4,46.5,46.6,46.6,46.6,46.6,46.6,46.6,46.7,46.7,46.7
North America,15.3,15.5,15.6,15.8,15.9,16.1,16.2,16.4,16.5,16.7,16.9,17,17.2,17.3,17.5,17.7
Australia,2.9,2.9,2.9,3,3,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4
South America,19.9,20.1,20.4,20.7,21,21.2,21.5,21.8,22.1,22.3,22.6,22.9,23.1,23.4,23.6,23.9
