ID,Sex,Age 0,Ages 1-4,Ages 5-9,Ages 10-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70-74,Ages 75-79,Ages 80-84,Ages 85+
MN,F,5.2,1.2,,0.6,1.2,2.7,2,1.7,1.3,1.3,1.8,1,1.5,0.7,0.9,,,,1.2
MS,F,8.5,2.9,,,2.8,7.1,10,6.8,9.5,4.3,2.8,3.1,2.6,3,3.2,3.7,2.9,6.7,4.7
MO,F,7.8,2.7,0.8,0.9,3.6,3.9,4,3.3,3.8,3.3,3.3,2.2,2.1,2,1.6,1.8,1.8,1.4,
MT,F,,4.5,0,0,2.4,3.7,3.6,3.1,3.6,,,2.7,,,0,,0,0,
NE,F,12.5,3.7,,,,1.5,2.9,,3.3,3.2,2.1,1.7,,,,,0,0,0
NV,F,7.8,2.3,,,4.5,9.3,6.5,4,7,4.6,3.5,2.8,2.4,1.4,2.8,3.5,,6.9,
NH,F,0,,,,,,,2.5,1.6,1.8,1.4,1.6,,,0,0,,0,
NJ,F,4.7,0.7,0.7,0.5,1.6,3.5,3.2,3,3.5,2.4,1.8,1.2,0.4,1,0.9,1.1,1.5,0.9,1.3
NM,F,16.9,1.8,0,1.5,4.5,6.9,4.7,5.1,6.1,6,5.6,2.7,1.7,2.7,4.4,,3.8,,
NY,F,5.7,1.9,0.5,0.5,1.6,2.9,2.9,2.8,2.5,2,2.3,1.4,1.2,1.1,1.4,0.9,1,1,1.3
NC,F,7,1.4,0.9,1,3.1,5.6,4.4,4.7,4.8,4.6,4.5,2.4,1.2,2.5,2.7,2.2,1,2.5,1.7
ND,F,0,,0,0,3.3,,,,0,,3.3,,0,0,,0,,0,
OH,F,7.7,2.6,0.6,0.8,2.6,4.1,4.9,3.8,3,3.2,3.2,1.9,1.3,0.9,1.1,1.3,1.4,2.3,1.2
OK,F,11.9,2.5,1,1.7,3,5.9,4.7,4.4,4.3,4.6,3.5,3.5,2.1,1.8,1.7,1.9,,,2.3
OR,F,5.2,2.2,,,1.4,2.7,2.1,1.5,1.2,1.8,2.6,1.3,1,1.1,,,1.5,2.7,2.2
PA,F,7.3,2.1,0.8,1,2.4,3.9,4,3.4,3.5,3.1,2.7,1.6,1.1,1.1,1,0.7,1.5,2.1,1.1
RI,F,,,,,,3.6,,,2,2.3,,,0,0,,0,,,
SC,F,11.3,2,0.6,0.7,4,6.4,6.5,6.7,6.3,4.7,5.3,3.6,2.3,2,1.6,1.9,3.2,2.9,2.7
SD,F,,3.8,,0,,,,3.7,,3.6,,,,,,0,0,,0
TN,F,9.6,1.9,,0.4,2.6,6.4,5.5,4.5,4.5,5.8,3.6,2.3,1.8,1.7,2.3,1.2,2.3,3.2,3.6
TX,F,7.1,2.8,0.8,0.9,3.4,4.6,4.1,4,4.2,4.3,2.8,2.4,2,1.8,2.4,2,2.2,2.9,1.9
UT,F,8,1.1,,,1,2.4,1.9,,2.6,1.3,1.6,1.2,,,,,,4.3,0
VT,F,,0,0,0,,,4.7,,,,,0,,,,0,0,0,0
VA,F,7.1,2,0.6,0.6,2.8,5.6,4.5,1.9,2.7,4.4,2.3,2.1,2.4,1.2,1,1.7,1.8,2,1.9
WA,F,5.4,2.6,,0.8,2.1,2.4,2.8,2.6,2.9,2.3,1.7,1,0.9,1.1,0.8,,1.5,2.1,2.9
WV,F,,3.4,,,2.5,2.8,5.2,5.3,6.4,6.1,4.5,2.3,,2.9,2.9,2.7,,0,
WI,F,9.8,1.3,0.6,,3,3.5,3.2,1.6,3,2.2,1.8,1.4,1.1,0.8,,,1,,
WY,F,,,0,0,4.4,,,,,,0,0,,0,0,,0,0,0
