Continent,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,37.9,37.6,37.3,37,36.6,36.3,35.9,35.5,35.1,34.6,34.2,33.8,33.3,32.9,32.4
Asia,20.1,19.7,19.4,19.1,18.8,18.4,18.3,18.1,17.9,17.7,17.6,17.4,17.1,16.9,16.7
Europe,9.9,10,10.2,10.3,10.3,10.4,10.5,10.5,10.5,10.4,10.4,10.3,10.2,10.1,10
North America,13.8,13.6,13.7,13.7,13.6,13.9,13.9,13.6,13.6,13.5,13.5,13.5,13.5,13.4,13.4
Australia,13.1,13,13,13,13.1,13,12.9,12.8,12.7,12.6,12.6,12.5,12.4,12.4,12.3
South America,21.1,20.8,20.5,20.3,19.9,19.5,19.3,19,18.7,18.4,18.1,17.8,17.5,17.3,17
