Region,Grade,2000,2003,2005,2007,2009
MI ,Grade8,277.2712447,276.4418616,277.346682,276.8305171,278.2681682
MN ,Grade8,286.9802195,290.680056,290.0749958,291.8511165,294.4433201
MS ,Grade8,254.1358844,260.9119336,262.4562427,264.8909187,265.0019582
MO ,Grade8,270.9282757,278.7662503,276.4499393,280.6195383,285.8080019
MT ,Grade8,285.2340136,285.9280226,286.4320012,287.075529,291.5429429
NE ,Grade8,280.0159615,282.193756,283.962991,283.6505986,284.2590935
NV ,Grade8,264.9448195,268.0431377,269.9055855,270.8040244,274.1485417
NH ,Grade8, ,286.1984687,285.253357,287.557061,292.3218172
NJ ,Grade8, ,281.4071199,283.9026042,288.5834514,292.6572271
NM ,Grade8,259.3341216,263.2729067,263.275163,267.5380787,269.7042538
NY ,Grade8,271.462874,279.749257,279.7162537,280.1411772,282.5769154
NC ,Grade8,276.2411678,281.2403506,281.8251366,283.8806688,284.3326353
ND ,Grade8,281.8929365,287.1446405,286.9609534,291.5616119,292.8424885
OH ,Grade8,280.5847511,281.6072954,283.2517747,284.8516395,285.5830138
OK ,Grade8,269.7344398,271.9051513,271.3599024,274.5349894,275.7119568
OR ,Grade8,280.0622369,280.8924709,282.2373254,283.8262772,285.0368144
PA ,Grade8, ,278.5377581,280.7138351,286.1668633,288.3041689
RI ,Grade8,268.9437546,271.9986944,272.3450181,275.3869905,277.9237194
SC ,Grade8,264.5847471,277.3004496,281.2343211,281.5036015,280.3808554
SD ,Grade8, ,284.8817364,287.303618,288.4639253,290.6191277
TN ,Grade8,261.6171879,268.1757286,270.5245768,273.9787866,274.7618211
TX ,Grade8,273.4437986,277.052649,281.102845,285.8707084,286.6850767
UT ,Grade8,273.5264915,280.6453697,279.1561234,281.0874737,284.0682519
VT ,Grade8,280.5003888,285.6455722,287.3564876,291.0107738,292.8660964
VA ,Grade8,274.7658664,281.6766434,284.3716282,287.625905,286.069755
WA ,Grade8, ,281.1513644,285.0522297,284.8628043,288.7223756
WV ,Grade8,266.47237,270.7703534,269.0994928,270.0840936,270.4157659
WI ,Grade8, ,283.9158657,284.5415566,285.6179425,288.1407262
WY ,Grade8,275.5723315,283.5033499,282.1006096,286.9877715,286.104034
