Region,Sex,2000,2003,2005,2007,2009
MT ,Female,286.5358714,285.9708321,286.910662,286.9637061,290.9054708
NE ,Female,277.3403297,280.5471767,282.5378536,282.2803279,282.5420218
NV ,Female,264.3017717,267.9975073,269.328166,270.144163,273.3135393
NH ,Female, ,285.5004316,284.5389615,287.1652646,291.7168697
NJ ,Female, ,280.7268126,282.2028342,287.5097969,290.4641574
NM ,Female,260.0801653,262.5468471,262.3174433,266.9691249,268.6418427
NY ,Female,270.1564649,278.5019478,279.5015086,279.601633,281.6659186
NC ,Female,275.1288133,281.8524886,282.3112663,282.687612,284.4698418
ND ,Female,282.0102236,287.0151876,286.5275416,290.0216585,291.3233085
OH ,Female,280.1115394,280.5725616,282.3279909,283.3674943,284.1669157
OK ,Female,268.8848188,271.5660249,271.1705577,272.5582744,273.772435
OR ,Female,278.2659433,279.769754,280.819342,283.0369388,283.3599407
PA ,Female, ,276.759765,278.6110043,283.4970383,286.6622481
RI ,Female,270.4193616,271.3528676,272.520585,275.0475327,277.630317
SC ,Female,265.3226787,274.388417,280.773183,281.5908063,279.8312193
SD ,Female, ,283.8473591,287.2389519,287.1558518,289.1154434
TN ,Female,260.0204336,268.346893,270.9472848,271.3669418,274.9775563
TX ,Female,274.7058452,275.9904705,279.3874908,284.6379384,285.9927423
UT ,Female,272.3946302,279.5590705,278.2683092,279.6204738,283.1003662
VT ,Female,281.9300075,285.5622024,287.3646893,290.0787219,291.5741193
VA ,Female,273.8623051,280.0770967,283.2977958,285.7771094,284.7602586
WA ,Female, ,280.5760307,285.1598629,285.1072311,287.5632952
WV ,Female,267.8188362,270.7170656,269.7540836,268.7695675,270.3261604
WI ,Female, ,283.5977027,284.4372489,284.0839761,286.8397087
WY ,Female,275.5015681,283.1309962,281.2842808,286.2244475,284.0387609
