Region,Sex,2000,2003,2005,2007,2009
MT ,Female,226.1404055,234.9999364,238.5157001,242.3068254,241.6644649
NE ,Female,224.943619,234.6669827,236.1618495,235.8812084,238.7398143
NV ,Female,218.279518,226.4127904,228.5621111,230.4000694,234.2039974
NH ,Female,,240.4639506,243.9119697,247.2629752,249.8650685
NJ ,Female,,237.3208192,242.1537524,246.9692135,244.5251381
NM ,Female,210.577853,221.103061,223.099702,227.1667936,229.3881713
NY ,Female,223.7882187,234.6711492,236.7237884,241.5536393,239.3247083
NC ,Female,229.7686839,241.3811052,240.6462413,240.672839,243.5792701
ND ,Female,228.9242252,235.4033077,241.3130142,243.1138955,243.5153071
OH ,Female,227.5658275,236.8962457,240.9626351,242.6133239,241.8739448
OK ,Female,222.9191223,227.9011397,232.5357429,235.5940703,235.6251517
OR ,Female,222.4298031,235.1649291,237.9665538,234.0367083,235.9717557
PA ,Female,,233.9956912,239.7772946,242.5153998,242.3648247
RI ,Female,222.5994643,229.1369957,232.9111452,235.2291898,237.00482
SC ,Female,218.70056,234.1480808,238.1676325,237.9677916,235.1828128
SD ,Female,,235.4556006,239.7334436,240.1239369,240.6416357
TN ,Female,218.9827132,227.731425,230.8322567,231.3302765,231.4680404
TX ,Female,230.0420749,235.7728041,240.1415135,242.1275066,240.0262266
UT ,Female,226.7001926,233.432198,237.1814583,237.7554227,239.2707128
VT ,Female,230.6902515,240.2302931,240.7657978,244.9675633,246.5994257
VA ,Female,227.4165785,238.6154166,238.9647107,241.8256555,241.4090858
WA ,Female,,236.5947411,240.9532751,240.8598956,242.1216208
WV ,Female,222.8058548,229.6649371,229.2947582,234.8825233,231.9295391
WI ,Female,,235.3923038,239.0558166,243.2912068,242.4100694
WY ,Female,226.7191877,239.6513752,241.6829778,243.2810985,240.9895822
